,Name,Title,Pay,Exercised,Year Born,Company Name,Yahoo Finance Code,Sector(s),Industry,Full Time Exployees,Company Address,Company Country,Company Phone,Company Website
1910,Mr. Gengqi  Yang,VP of Sales & Marketing,N/A,N/A,N/A,"IT Tech Packaging, Inc.",ITP,Basic Materials,Paper & Paper Products,333,Science Park Juli Road Xushui District Baoding 072550,China,86 31 2869 8215,http://www.itpackaging.cn
1911,Mr. Manhua  Zhang,Chief Engineer of Digital Photo Paper Production Line,N/A,N/A,N/A,"IT Tech Packaging, Inc.",ITP,Basic Materials,Paper & Paper Products,333,Science Park Juli Road Xushui District Baoding 072550,China,86 31 2869 8215,http://www.itpackaging.cn
1912,Mr. Daniel G. McConnell,Pres & CEO,1.89M,N/A,N/A,The North West Company Inc.,NWC.TO,Consumer Defensive,Grocery Stores,"6,939","Gibraltar House 77 Main Street Winnipeg, MB R3C 2R1",Canada,204 934 1756,http://www.northwest.ca
1913,"Mr. John D. King C.A., C.M.A., CPA, CPA, CA, CMA",Exec. VP & CFO,1.02M,N/A,N/A,The North West Company Inc.,NWC.TO,Consumer Defensive,Grocery Stores,"6,939","Gibraltar House 77 Main Street Winnipeg, MB R3C 2R1",Canada,204 934 1756,http://www.northwest.ca
1914,Mr. Gary  Merasty,Exec. VP & Chief Devel. Officer,951.18k,N/A,1965,The North West Company Inc.,NWC.TO,Consumer Defensive,Grocery Stores,"6,939","Gibraltar House 77 Main Street Winnipeg, MB R3C 2R1",Canada,204 934 1756,http://www.northwest.ca
1915,Ms. Amanda E. Sutton,VP of Legal & Corp. Sec.,N/A,N/A,N/A,The North West Company Inc.,NWC.TO,Consumer Defensive,Grocery Stores,"6,939","Gibraltar House 77 Main Street Winnipeg, MB R3C 2R1",Canada,204 934 1756,http://www.northwest.ca
1916,Ms. Alison  Coville,Chief People Officer,N/A,N/A,N/A,The North West Company Inc.,NWC.TO,Consumer Defensive,Grocery Stores,"6,939","Gibraltar House 77 Main Street Winnipeg, MB R3C 2R1",Canada,204 934 1756,http://www.northwest.ca
1917,Mr. Kyle Adrian Hill,Pres of Alaska Commercial Company,N/A,N/A,N/A,The North West Company Inc.,NWC.TO,Consumer Defensive,Grocery Stores,"6,939","Gibraltar House 77 Main Street Winnipeg, MB R3C 2R1",Canada,204 934 1756,http://www.northwest.ca
1918,Mr. Jim  Caldwell,Pres of Canadian Retail,N/A,N/A,N/A,The North West Company Inc.,NWC.TO,Consumer Defensive,Grocery Stores,"6,939","Gibraltar House 77 Main Street Winnipeg, MB R3C 2R1",Canada,204 934 1756,http://www.northwest.ca
1919,Mr. Frank W. Kelner,Pres & CEO of North Star Air Ltd,N/A,N/A,N/A,The North West Company Inc.,NWC.TO,Consumer Defensive,Grocery Stores,"6,939","Gibraltar House 77 Main Street Winnipeg, MB R3C 2R1",Canada,204 934 1756,http://www.northwest.ca
1920,Mr. Jeffrey B. Stout,Pres & COO of North Star Air Ltd.,N/A,N/A,N/A,The North West Company Inc.,NWC.TO,Consumer Defensive,Grocery Stores,"6,939","Gibraltar House 77 Main Street Winnipeg, MB R3C 2R1",Canada,204 934 1756,http://www.northwest.ca
1921,Mr. Rex Allen Wilhelm,Vice Chair of NWCI - International Operations,N/A,N/A,1959,The North West Company Inc.,NWC.TO,Consumer Defensive,Grocery Stores,"6,939","Gibraltar House 77 Main Street Winnipeg, MB R3C 2R1",Canada,204 934 1756,http://www.northwest.ca
1922,Mr. Stanley  Ma,Chairman & Pres,144.3k,N/A,1947,MTY Food Group Inc.,MTY.TO,Consumer Cyclical,Restaurants,"1,941","8210 Transcanada Road Saint-Laurent, QC H4S 1M5",Canada,514 336 8885,http://mtygroup.com
1923,"Mr. Eric  Lefebvre CPA, CA, MBA, QC",CEO & Non-Independent Director,530.38k,N/A,1977,MTY Food Group Inc.,MTY.TO,Consumer Cyclical,Restaurants,"1,941","8210 Transcanada Road Saint-Laurent, QC H4S 1M5",Canada,514 336 8885,http://mtygroup.com
1924,Ms. RenÃ©e  St-Onge,Chief Financial Officer,304.6k,N/A,1981,MTY Food Group Inc.,MTY.TO,Consumer Cyclical,Restaurants,"1,941","8210 Transcanada Road Saint-Laurent, QC H4S 1M5",Canada,514 336 8885,http://mtygroup.com
1925,Ms. Claude  St-Pierre,Sec. & Non-Independent Director,114.22k,N/A,1969,MTY Food Group Inc.,MTY.TO,Consumer Cyclical,Restaurants,"1,941","8210 Transcanada Road Saint-Laurent, QC H4S 1M5",Canada,514 336 8885,http://mtygroup.com
1926,Mr. Nik  Rupp,"Exec. VP of Fin., MTY Franchising USA",1.29M,N/A,1976,MTY Food Group Inc.,MTY.TO,Consumer Cyclical,Restaurants,"1,941","8210 Transcanada Road Saint-Laurent, QC H4S 1M5",Canada,514 336 8885,http://mtygroup.com
1927,Ms. Victoria J. Tullett,Sr. VP of Legal & Gen. Counsel of Papa Murphy,1.14M,N/A,1968,MTY Food Group Inc.,MTY.TO,Consumer Cyclical,Restaurants,"1,941","8210 Transcanada Road Saint-Laurent, QC H4S 1M5",Canada,514 336 8885,http://mtygroup.com
1928,Ms. Stephanie  Richmond,Sr. Vice-Pres of HR at Papa Murphy,830.98k,N/A,N/A,MTY Food Group Inc.,MTY.TO,Consumer Cyclical,Restaurants,"1,941","8210 Transcanada Road Saint-Laurent, QC H4S 1M5",Canada,514 336 8885,http://mtygroup.com
1929,Mr. Marc  Benzacar,Chief Operating Officer of Fast Casual Division,N/A,N/A,N/A,MTY Food Group Inc.,MTY.TO,Consumer Cyclical,Restaurants,"1,941","8210 Transcanada Road Saint-Laurent, QC H4S 1M5",Canada,514 336 8885,http://mtygroup.com
1930,Mr. Jeff  Smit,Chief Operating Officer of US Operations,N/A,N/A,1958,MTY Food Group Inc.,MTY.TO,Consumer Cyclical,Restaurants,"1,941","8210 Transcanada Road Saint-Laurent, QC H4S 1M5",Canada,514 336 8885,http://mtygroup.com
1931,Ms. Marie-Line  Beauchamp,Chief Operating Officer of Casual Dining,N/A,N/A,N/A,MTY Food Group Inc.,MTY.TO,Consumer Cyclical,Restaurants,"1,941","8210 Transcanada Road Saint-Laurent, QC H4S 1M5",Canada,514 336 8885,http://mtygroup.com
1932,Mr. Jay N. Levine,Exec. Chairman & CEO,N/A,N/A,1962,Cascade Acquisition Corp.,CAS,Financial Services,Shell Companies,,"1900 Sunset Harbour Drive Suite 2102 Miami Beach, FL 33139",United States,203 856 3033,N/A
1933,Mr. Daniel Joseph Hirsch,COO & CFO,N/A,N/A,1974,Cascade Acquisition Corp.,CAS,Financial Services,Shell Companies,,"1900 Sunset Harbour Drive Suite 2102 Miami Beach, FL 33139",United States,203 856 3033,N/A
1934,Mr. Peter Gordon Stothart,"Pres, CEO & Director",1.53M,N/A,1962,IAMGOLD Corporation,IMG.TO,Basic Materials,Gold,"5,000","401 Bay Street Suite 3200 PO Box 153 Toronto, ON M5H 2Y4",Canada,416 360 4710,http://www.iamgold.com
1935,Mr. Bruno  Lemelin,Sr. VP of Operations & Projects,736.24k,N/A,N/A,IAMGOLD Corporation,IMG.TO,Basic Materials,Gold,"5,000","401 Bay Street Suite 3200 PO Box 153 Toronto, ON M5H 2Y4",Canada,416 360 4710,http://www.iamgold.com
1936,"Mr. Craig Stephen MacDougall M.Sc., B.Sc. (Hons), P.Geo.",Exec. VP of Growth,832.68k,N/A,1963,IAMGOLD Corporation,IMG.TO,Basic Materials,Gold,"5,000","401 Bay Street Suite 3200 PO Box 153 Toronto, ON M5H 2Y4",Canada,416 360 4710,http://www.iamgold.com
1937,Mr. Oumar  Toguyeni,Sr. VP of International Affairs & Sustainability,1.01M,49.42k,N/A,IAMGOLD Corporation,IMG.TO,Basic Materials,Gold,"5,000","401 Bay Street Suite 3200 PO Box 153 Toronto, ON M5H 2Y4",Canada,416 360 4710,http://www.iamgold.com
1938,Ms. Daniella Elena Dimitrov,Exec. VP & CFO,N/A,N/A,1970,IAMGOLD Corporation,IMG.TO,Basic Materials,Gold,"5,000","401 Bay Street Suite 3200 PO Box 153 Toronto, ON M5H 2Y4",Canada,416 360 4710,http://www.iamgold.com
1939,Daniel  ValliÃ¨res Ing.,Sr. Director of Technical Services,N/A,N/A,N/A,IAMGOLD Corporation,IMG.TO,Basic Materials,Gold,"5,000","401 Bay Street Suite 3200 PO Box 153 Toronto, ON M5H 2Y4",Canada,416 360 4710,http://www.iamgold.com
1940,Indi  Gopinathan,VP of Investor Relations & Corp. Communications,N/A,N/A,N/A,IAMGOLD Corporation,IMG.TO,Basic Materials,Gold,"5,000","401 Bay Street Suite 3200 PO Box 153 Toronto, ON M5H 2Y4",Canada,416 360 4710,http://www.iamgold.com
1941,Mr. Timothy R. Bradburn,"Sr. VP, Gen. Counsel & Corp. Sec.",N/A,N/A,N/A,IAMGOLD Corporation,IMG.TO,Basic Materials,Gold,"5,000","401 Bay Street Suite 3200 PO Box 153 Toronto, ON M5H 2Y4",Canada,416 360 4710,http://www.iamgold.com
1942,James  Collie,VP & Corp. Controller,N/A,N/A,N/A,IAMGOLD Corporation,IMG.TO,Basic Materials,Gold,"5,000","401 Bay Street Suite 3200 PO Box 153 Toronto, ON M5H 2Y4",Canada,416 360 4710,http://www.iamgold.com
1943,Luc-Bernard  Denoncourt Ing.,Project Director,N/A,N/A,N/A,IAMGOLD Corporation,IMG.TO,Basic Materials,Gold,"5,000","401 Bay Street Suite 3200 PO Box 153 Toronto, ON M5H 2Y4",Canada,416 360 4710,http://www.iamgold.com
1944,Mr. Darren  Gee,"Pres, CEO & Director",289.3k,N/A,1968,Peyto Exploration & Development Corp.,PEY.TO,Energy,Oil & Gas E&P,,"600 â 3rd Avenue SW Suite 300 Calgary, AB T2P 0G5",Canada,403 261 6081,http://www.peyto.com
1945,Ms. Kathy  Turgeon,"VP of Fin., CFO & Director",233.5k,N/A,1962,Peyto Exploration & Development Corp.,PEY.TO,Energy,Oil & Gas E&P,,"600 â 3rd Avenue SW Suite 300 Calgary, AB T2P 0G5",Canada,403 261 6081,http://www.peyto.com
1946,Mr. Jean-Paul H. Lachance,VP of Engineering & COO,253.8k,N/A,N/A,Peyto Exploration & Development Corp.,PEY.TO,Energy,Oil & Gas E&P,,"600 â 3rd Avenue SW Suite 300 Calgary, AB T2P 0G5",Canada,403 261 6081,http://www.peyto.com
1947,Mr. David Alan Thomas,VP of Exploration,243.6k,N/A,N/A,Peyto Exploration & Development Corp.,PEY.TO,Energy,Oil & Gas E&P,,"600 â 3rd Avenue SW Suite 300 Calgary, AB T2P 0G5",Canada,403 261 6081,http://www.peyto.com
1948,Mr. Scott  Robinson P.Eng.,VP of Bus. Devel.,248.7k,N/A,1960,Peyto Exploration & Development Corp.,PEY.TO,Energy,Oil & Gas E&P,,"600 â 3rd Avenue SW Suite 300 Calgary, AB T2P 0G5",Canada,403 261 6081,http://www.peyto.com
1949,Lydia  Hamaliuk,Mang. of HR,N/A,N/A,N/A,Peyto Exploration & Development Corp.,PEY.TO,Energy,Oil & Gas E&P,,"600 â 3rd Avenue SW Suite 300 Calgary, AB T2P 0G5",Canada,403 261 6081,http://www.peyto.com
1950,Mr. Stephen Jonathan Chetner,Corp. Sec.,N/A,N/A,1967,Peyto Exploration & Development Corp.,PEY.TO,Energy,Oil & Gas E&P,,"600 â 3rd Avenue SW Suite 300 Calgary, AB T2P 0G5",Canada,403 261 6081,http://www.peyto.com
1951,Mr. Timothy  Louie,VP of Land,N/A,N/A,N/A,Peyto Exploration & Development Corp.,PEY.TO,Energy,Oil & Gas E&P,,"600 â 3rd Avenue SW Suite 300 Calgary, AB T2P 0G5",Canada,403 261 6081,http://www.peyto.com
1952,Mr. Lee Russell Curran,VP of Drilling & Completions,N/A,N/A,N/A,Peyto Exploration & Development Corp.,PEY.TO,Energy,Oil & Gas E&P,,"600 â 3rd Avenue SW Suite 300 Calgary, AB T2P 0G5",Canada,403 261 6081,http://www.peyto.com
1953,Mr. Todd  Burdick,VP of Production,N/A,N/A,N/A,Peyto Exploration & Development Corp.,PEY.TO,Energy,Oil & Gas E&P,,"600 â 3rd Avenue SW Suite 300 Calgary, AB T2P 0G5",Canada,403 261 6081,http://www.peyto.com
1954,Mr. Duncan  Middlemiss,"Pres, CEO & Director",1.14M,N/A,1962,Wesdome Gold Mines Ltd.,WDO.TO,Basic Materials,Gold,,"220 Bay Street Suite 1200 Toronto, ON M5J 2W4",Canada,416-360-3743,http://www.wesdome.com
1955,"Mr. Scott  Gilbert C.A., CPA, CPA, CA",Chief Financial Officer,331.43k,N/A,N/A,Wesdome Gold Mines Ltd.,WDO.TO,Basic Materials,Gold,,"220 Bay Street Suite 1200 Toronto, ON M5J 2W4",Canada,416-360-3743,http://www.wesdome.com
1956,Mr. Marc-Andre  Pelletier P.Eng.,Chief Operating Officer,594.6k,N/A,N/A,Wesdome Gold Mines Ltd.,WDO.TO,Basic Materials,Gold,,"220 Bay Street Suite 1200 Toronto, ON M5J 2W4",Canada,416-360-3743,http://www.wesdome.com
1957,Ms. Stacy  Kimmett,VP of HR,288.57k,N/A,N/A,Wesdome Gold Mines Ltd.,WDO.TO,Basic Materials,Gold,,"220 Bay Street Suite 1200 Toronto, ON M5J 2W4",Canada,416-360-3743,http://www.wesdome.com
1958,"Mr. Michael  Michaud M.Sc., P.Geo.",VP of Exploration,515.52k,N/A,N/A,Wesdome Gold Mines Ltd.,WDO.TO,Basic Materials,Gold,,"220 Bay Street Suite 1200 Toronto, ON M5J 2W4",Canada,416-360-3743,http://www.wesdome.com
1959,Ms. Lindsay Carpenter Dunlop,VP of Investor Relations,N/A,N/A,N/A,Wesdome Gold Mines Ltd.,WDO.TO,Basic Materials,Gold,,"220 Bay Street Suite 1200 Toronto, ON M5J 2W4",Canada,416-360-3743,http://www.wesdome.com
1960,Mr. Rajbir  Gill,VP of Corp. Devel.,N/A,N/A,N/A,Wesdome Gold Mines Ltd.,WDO.TO,Basic Materials,Gold,,"220 Bay Street Suite 1200 Toronto, ON M5J 2W4",Canada,416-360-3743,http://www.wesdome.com
1961,"Mr. Daniel  Lapointe P.Geo., MSc.",Chief Geologist of Eagle River Mine,N/A,N/A,N/A,Wesdome Gold Mines Ltd.,WDO.TO,Basic Materials,Gold,,"220 Bay Street Suite 1200 Toronto, ON M5J 2W4",Canada,416-360-3743,http://www.wesdome.com
1962,Ms. Heather Anne Laxton,Chief Governance Officer & Corp. Sec.,N/A,N/A,N/A,Wesdome Gold Mines Ltd.,WDO.TO,Basic Materials,Gold,,"220 Bay Street Suite 1200 Toronto, ON M5J 2W4",Canada,416-360-3743,http://www.wesdome.com
1963,Scott  Carruthers,Chief Assayer of Eagle River Mine,N/A,N/A,N/A,Wesdome Gold Mines Ltd.,WDO.TO,Basic Materials,Gold,,"220 Bay Street Suite 1200 Toronto, ON M5J 2W4",Canada,416-360-3743,http://www.wesdome.com
1964,Mr. David  Rae,"Pres, CEO, & Director",1.3M,N/A,1961,Dundee Precious Metals Inc.,DPM.TO,Basic Materials,Gold,,"1 Adelaide Street East Suite 500 PO Box 195 Toronto, ON M5C 2V9",Canada,416-365-5191,http://www.dundeeprecious.com
1965,Mr. Hume D. Kyle,Exec. VP & CFO,804.5k,N/A,1961,Dundee Precious Metals Inc.,DPM.TO,Basic Materials,Gold,,"1 Adelaide Street East Suite 500 PO Box 195 Toronto, ON M5C 2V9",Canada,416-365-5191,http://www.dundeeprecious.com
1966,Ms. Kelly E. Stark-Anderson LLB,"Exec. VP of Corp. Affairs, Gen. Counsel & Corp. Sec.",637.2k,N/A,1964,Dundee Precious Metals Inc.,DPM.TO,Basic Materials,Gold,,"1 Adelaide Street East Suite 500 PO Box 195 Toronto, ON M5C 2V9",Canada,416-365-5191,http://www.dundeeprecious.com
1967,Mr. Michael  Dorfman,Exec. VP of Corp. Devel.,619.3k,N/A,1978,Dundee Precious Metals Inc.,DPM.TO,Basic Materials,Gold,,"1 Adelaide Street East Suite 500 PO Box 195 Toronto, ON M5C 2V9",Canada,416-365-5191,http://www.dundeeprecious.com
1968,Mr. Nikolay  Hristov,VP of External Relations & Sustainability,592.7k,N/A,N/A,Dundee Precious Metals Inc.,DPM.TO,Basic Materials,Gold,,"1 Adelaide Street East Suite 500 PO Box 195 Toronto, ON M5C 2V9",Canada,416-365-5191,http://www.dundeeprecious.com
1969,Mr. Matthieu  Risgallah,VP of Technology,N/A,N/A,N/A,Dundee Precious Metals Inc.,DPM.TO,Basic Materials,Gold,,"1 Adelaide Street East Suite 500 PO Box 195 Toronto, ON M5C 2V9",Canada,416-365-5191,http://www.dundeeprecious.com
1970,Jennifer  Cameron,Director of Investor Relations,N/A,N/A,N/A,Dundee Precious Metals Inc.,DPM.TO,Basic Materials,Gold,,"1 Adelaide Street East Suite 500 PO Box 195 Toronto, ON M5C 2V9",Canada,416-365-5191,http://www.dundeeprecious.com
1971,Ms. Alex  Wilson,VP of HR,N/A,N/A,N/A,Dundee Precious Metals Inc.,DPM.TO,Basic Materials,Gold,,"1 Adelaide Street East Suite 500 PO Box 195 Toronto, ON M5C 2V9",Canada,416-365-5191,http://www.dundeeprecious.com
1972,Dr. Iliya  Garkov Ph.D.,VP & MD of Bulgaria,N/A,N/A,N/A,Dundee Precious Metals Inc.,DPM.TO,Basic Materials,Gold,,"1 Adelaide Street East Suite 500 PO Box 195 Toronto, ON M5C 2V9",Canada,416-365-5191,http://www.dundeeprecious.com
1973,Sylvia  Chen,Global Controller,N/A,N/A,N/A,Dundee Precious Metals Inc.,DPM.TO,Basic Materials,Gold,,"1 Adelaide Street East Suite 500 PO Box 195 Toronto, ON M5C 2V9",Canada,416-365-5191,http://www.dundeeprecious.com
1974,"Mr. Fleetwood Rawstorne Grobler B Eng(Mech), BEng(Mech)","Pres, CEO & Exec. Director",1.04M,N/A,1961,Sasol Limited,SSL,Energy,Oil & Gas Integrated,"28,725",Sasol Place 50 Katherine Street Sandton Johannesburg 2196,South Africa,27 10 344 5000,http://www.sasol.com
1975,"Mr. Paul  Victor B.Com., C.A., Intl. Tax law, BCompt (Hons), CA (SA",CFO & Exec. Director,631.3k,N/A,1972,Sasol Limited,SSL,Energy,Oil & Gas Integrated,"28,725",Sasol Place 50 Katherine Street Sandton Johannesburg 2196,South Africa,27 10 344 5000,http://www.sasol.com
1976,"Ms. Charlotte K. Mokoena B.A., BA (Hon), BSoc Sciences",Exec. VP of HR & Stakeholder Relations,486.29k,N/A,1965,Sasol Limited,SSL,Energy,Oil & Gas Integrated,"28,725",Sasol Place 50 Katherine Street Sandton Johannesburg 2196,South Africa,27 10 344 5000,http://www.sasol.com
1977,Mr. Bernard Ekhard Klingenberg M.Sc.,Exec. VP of Energy Operations,667.16k,N/A,1962,Sasol Limited,SSL,Energy,Oil & Gas Integrated,"28,725",Sasol Place 50 Katherine Street Sandton Johannesburg 2196,South Africa,27 10 344 5000,http://www.sasol.com
1978,Mr. Vuyo Dominic Kahla,"Exec. VP of Strategy, Sustainability & Integrated Services and Exec. Director",579.68k,N/A,1970,Sasol Limited,SSL,Energy,Oil & Gas Integrated,"28,725",Sasol Place 50 Katherine Street Sandton Johannesburg 2196,South Africa,27 10 344 5000,http://www.sasol.com
1979,Mr. H. C. Brand M.B.A.,Exec. VP of Sasol 2.0 transformation,428.91k,N/A,1964,Sasol Limited,SSL,Energy,Oil & Gas Integrated,"28,725",Sasol Place 50 Katherine Street Sandton Johannesburg 2196,South Africa,27 10 344 5000,http://www.sasol.com
1980,Mr. Brad V. Griffith M.B.A.,Exec. VP of Chemicals,448.67k,N/A,1967,Sasol Limited,SSL,Energy,Oil & Gas Integrated,"28,725",Sasol Place 50 Katherine Street Sandton Johannesburg 2196,South Africa,27 10 344 5000,http://www.sasol.com
1981,Feroza  Syed,Chief Investor Relations Officer,N/A,N/A,N/A,Sasol Limited,SSL,Energy,Oil & Gas Integrated,"28,725",Sasol Place 50 Katherine Street Sandton Johannesburg 2196,South Africa,27 10 344 5000,http://www.sasol.com
1982,Mr. Elton  Fortuin,VP of Communication & Brand Management,N/A,N/A,N/A,Sasol Limited,SSL,Energy,Oil & Gas Integrated,"28,725",Sasol Place 50 Katherine Street Sandton Johannesburg 2196,South Africa,27 10 344 5000,http://www.sasol.com
1983,Ms. Nina  Stofberg CA (SA),Chief Financial Officer of North American Operations,N/A,N/A,N/A,Sasol Limited,SSL,Energy,Oil & Gas Integrated,"28,725",Sasol Place 50 Katherine Street Sandton Johannesburg 2196,South Africa,27 10 344 5000,http://www.sasol.com
1984,"Mr. Tito Botelho Martins Jr., Junior","Pres, CEO & Chairman of Exec. Board",1.34M,N/A,1962,Nexa Resources S.A.,NEXA,Basic Materials,Other Industrial Metals & Mining,,"37A, Avenue J.F. Kennedy Luxembourg City 1855",Luxembourg,352 28 26 3727,http://www.nexaresources.com
1985,Mr. Rodrigo Nazareth Menck,"Sr. VP of Fin., Group CFO & Treasurer and Member of Exec. Board",251.1k,N/A,1975,Nexa Resources S.A.,NEXA,Basic Materials,Other Industrial Metals & Mining,,"37A, Avenue J.F. Kennedy Luxembourg City 1855",Luxembourg,352 28 26 3727,http://www.nexaresources.com
1986,Mr. Mauro Davi Boletta,Sr. VP of Smelting & Member of Exec. Board,334.15k,N/A,1961,Nexa Resources S.A.,NEXA,Basic Materials,Other Industrial Metals & Mining,,"37A, Avenue J.F. Kennedy Luxembourg City 1855",Luxembourg,352 28 26 3727,http://www.nexaresources.com
1987,Mr. Leonardo  Nunes Coelho,Sr. VP of Mining & Member of Exec. Board,653.01k,N/A,1977,Nexa Resources S.A.,NEXA,Basic Materials,Other Industrial Metals & Mining,,"37A, Avenue J.F. Kennedy Luxembourg City 1855",Luxembourg,352 28 26 3727,http://www.nexaresources.com
1988,Mr. Jones  Aparecido Belther,Sr. VP of Mineral Exploration & Technology and Member of Exec. Board,344.56k,N/A,1968,Nexa Resources S.A.,NEXA,Basic Materials,Other Industrial Metals & Mining,,"37A, Avenue J.F. Kennedy Luxembourg City 1855",Luxembourg,352 28 26 3727,http://www.nexaresources.com
1989,Mr. Felipe  Baldassari Guardiano,"VP of Sustainability, Strategic Planning & Corp. Affairs and Member of Exec. Board",327.92k,N/A,1963,Nexa Resources S.A.,NEXA,Basic Materials,Other Industrial Metals & Mining,,"37A, Avenue J.F. Kennedy Luxembourg City 1855",Luxembourg,352 28 26 3727,http://www.nexaresources.com
1990,Mr. Ricardo Moraes  Galvao Porto,Sr. VP of Commercial & Supply Chain and Member of Exec. Board,652.09k,N/A,1974,Nexa Resources S.A.,NEXA,Basic Materials,Other Industrial Metals & Mining,,"37A, Avenue J.F. Kennedy Luxembourg City 1855",Luxembourg,352 28 26 3727,http://www.nexaresources.com
1991,Mr. Gustavo  Cicilini,VP of HR and Member of Exec. Board,267.91k,N/A,1976,Nexa Resources S.A.,NEXA,Basic Materials,Other Industrial Metals & Mining,,"37A, Avenue J.F. Kennedy Luxembourg City 1855",Luxembourg,352 28 26 3727,http://www.nexaresources.com
1992,Mr. Marcio Luis Silva Godoy,Sr. VP of Project Devel. & Execution and Member of the Exec. Board,298.23k,N/A,1966,Nexa Resources S.A.,NEXA,Basic Materials,Other Industrial Metals & Mining,,"37A, Avenue J.F. Kennedy Luxembourg City 1855",Luxembourg,352 28 26 3727,http://www.nexaresources.com
1993,Ms. Roberta Pimphari Varella,Head of Investor Relations,N/A,N/A,N/A,Nexa Resources S.A.,NEXA,Basic Materials,Other Industrial Metals & Mining,,"37A, Avenue J.F. Kennedy Luxembourg City 1855",Luxembourg,352 28 26 3727,http://www.nexaresources.com
1994,Mr. Kelly  Youngblood,Exec. VP & CFO,783.8k,N/A,1966,MRC Global Inc.,MRC,Energy,Oil & Gas Equipment & Services,"2,500","Fulbright Tower Suite 2300 1301 McKinney Street Houston, TX 77010",United States,877-294-7574,http://www.mrcglobal.com
1995,Mr. Daniel J. Churay J.D.,"Exec. VP of Corp. Affairs, Gen. Counsel & Corp. Sec.",619.26k,N/A,1962,MRC Global Inc.,MRC,Energy,Oil & Gas Equipment & Services,"2,500","Fulbright Tower Suite 2300 1301 McKinney Street Houston, TX 77010",United States,877-294-7574,http://www.mrcglobal.com
1996,Mr. Grant R. Bates,Sr. VP of North America Operations & E-Commerce,685.05k,N/A,1972,MRC Global Inc.,MRC,Energy,Oil & Gas Equipment & Services,"2,500","Fulbright Tower Suite 2300 1301 McKinney Street Houston, TX 77010",United States,877-294-7574,http://www.mrcglobal.com
1997,Mr. Robert J. Saltiel,"Pres, CEO & Director",N/A,N/A,1963,MRC Global Inc.,MRC,Energy,Oil & Gas Equipment & Services,"2,500","Fulbright Tower Suite 2300 1301 McKinney Street Houston, TX 77010",United States,877-294-7574,http://www.mrcglobal.com
1998,Ms. Gillian  Anderson,VP & Chief Accounting Officer,N/A,N/A,N/A,MRC Global Inc.,MRC,Energy,Oil & Gas Equipment & Services,"2,500","Fulbright Tower Suite 2300 1301 McKinney Street Houston, TX 77010",United States,877-294-7574,http://www.mrcglobal.com
1999,Ms. Monica Schafer Broughton,VP of Investor Relations,N/A,N/A,N/A,MRC Global Inc.,MRC,Energy,Oil & Gas Equipment & Services,"2,500","Fulbright Tower Suite 2300 1301 McKinney Street Houston, TX 77010",United States,877-294-7574,http://www.mrcglobal.com
2000,Mr. Rance  Long,"Sr. VP of Corp. Accounts, Marketing & Projects",N/A,N/A,1969,MRC Global Inc.,MRC,Energy,Oil & Gas Equipment & Services,"2,500","Fulbright Tower Suite 2300 1301 McKinney Street Houston, TX 77010",United States,877-294-7574,http://www.mrcglobal.com
2001,Mr. Malcolm  O'Neal,Sr. VP of HR,N/A,N/A,N/A,MRC Global Inc.,MRC,Energy,Oil & Gas Equipment & Services,"2,500","Fulbright Tower Suite 2300 1301 McKinney Street Houston, TX 77010",United States,877-294-7574,http://www.mrcglobal.com
2002,Mr. John L. Bowhay,Sr. VP of International & Special Projects,N/A,N/A,1966,MRC Global Inc.,MRC,Energy,Oil & Gas Equipment & Services,"2,500","Fulbright Tower Suite 2300 1301 McKinney Street Houston, TX 77010",United States,877-294-7574,http://www.mrcglobal.com
2003,Mr. Karl W. Witt,Sr. VP of US Regional Sales,N/A,N/A,1961,MRC Global Inc.,MRC,Energy,Oil & Gas Equipment & Services,"2,500","Fulbright Tower Suite 2300 1301 McKinney Street Houston, TX 77010",United States,877-294-7574,http://www.mrcglobal.com
2004,Mr. Zhiwei  Xu,CEO & Chairman,N/A,N/A,1954,Jowell Global Ltd.,JWEL,Consumer Cyclical,Internet Retail,110,No. 285 Jiangpu Road 2nd Floor Yangpu District Shanghai 200082,China,86 21 5521 0174,http://www.1juhao.com
2005,Ms. Mei  Cai,Chief Financial Officer,N/A,N/A,1980,Jowell Global Ltd.,JWEL,Consumer Cyclical,Internet Retail,110,No. 285 Jiangpu Road 2nd Floor Yangpu District Shanghai 200082,China,86 21 5521 0174,http://www.1juhao.com
2006,Ms. Dan  Zhao,Director & VP of Fin.,N/A,N/A,1974,Jowell Global Ltd.,JWEL,Consumer Cyclical,Internet Retail,110,No. 285 Jiangpu Road 2nd Floor Yangpu District Shanghai 200082,China,86 21 5521 0174,http://www.1juhao.com
2007,"Mr. Samir A. Manji CPA, CPA, CA",CEO & Trustee,N/A,N/A,1969,Artis Real Estate Investment Trust,AX-UN.TO,Real Estate,REIT—Diversified,206,"220 Portage Avenue Suite 600 Winnipeg, MB R3C 0A5",Canada,204-947-1250,http://www.artisreit.com
2008,Ms. Kim  Riley,Chief Operating Officer,669.89k,N/A,1984,Artis Real Estate Investment Trust,AX-UN.TO,Real Estate,REIT—Diversified,206,"220 Portage Avenue Suite 600 Winnipeg, MB R3C 0A5",Canada,204-947-1250,http://www.artisreit.com
